node_id_from,node_id_to,cost,cost_0,alpha,beta,long_from,lat_from,long_to,lat_to,flow_capacity
48,47,6.3479999868,6.3479999868,1.0,5.0,150.94257978767277,-33.876061474420986,150.91283408705524,-33.803103725113594,1128.5444274884699
3,59,5.3448501048252,5.3448501048252,0.55,5.5,150.91082144631972,-33.76301643922635,150.84444174786586,-33.741642913124146,5119.22292593298
10,59,4.475999974800001,4.475999974800001,1.0,5.0,150.79178906392266,-33.78818059606899,150.84444174786586,-33.741642913124146,2000.0
12,59,9.107999856000001,9.107999856000001,1.0,5.0,150.7633483299588,-33.6127876509559,150.84444174786586,-33.741642913124146,1000.0
26,59,3.84799997192,3.84799997192,0.55,5.5,150.85409230258085,-33.798172952325345,150.84444174786586,-33.741642913124146,4217.94872101687
41,59,8.6999999388,8.6999999388,1.0,5.0,150.83722169349326,-33.61939318146369,150.84444174786586,-33.741642913124146,1000.0
14,4,21.82799976,21.82799976,1.0,5.0,150.4968089398905,-34.07575352090612,150.7331854709915,-34.05076948402157,1000.0
38,4,6.180000252,6.180000252,1.0,5.0,150.70032736933453,-34.14905329289731,150.7331854709915,-34.05076948402157,1310.67961839947
46,4,3.563999988,3.563999988,1.0,5.0,150.79430517125428,-34.06740555347495,150.7331854709915,-34.05076948402157,2000.0
51,4,16.259999856,16.259999856,1.0,5.0,150.85839240657683,-33.92493461802784,150.7331854709915,-34.05076948402157,1144.6494485135001
54,4,14.603999867999999,14.603999867999999,1.0,5.0,150.731762494932,-33.939902256718504,150.7331854709915,-34.05076948402157,1131.4708302762401
4,14,21.82799976,21.82799976,1.0,5.0,150.73269801802024,-34.05099416380232,150.49680893989049,-34.075753520906126,1000.0
31,14,19.716000144000002,19.716000144000002,1.0,5.0,150.61953012659,-34.18164367834997,150.49680893989049,-34.075753520906126,1000.0
4,38,6.180000252,6.180000252,1.0,5.0,150.73269801802024,-34.05099416380232,150.70032736933453,-34.14905329289731,1310.67961839947
17,38,10.319999868,10.319999868,1.0,5.0,150.76167680569975,-34.218996398960726,150.70032736933453,-34.14905329289731,1000.0
31,38,8.466000048000001,8.466000048000001,1.0,5.0,150.61953012659,-34.18164367834997,150.70032736933453,-34.14905329289731,2000.0
46,38,15.036000084000001,15.036000084000001,1.0,5.0,150.79430517125428,-34.06740555347495,150.70032736933453,-34.14905329289731,1000.0
4,46,3.563999988,3.563999988,1.0,5.0,150.73269801802024,-34.05099416380232,150.7948246083165,-34.06711007917493,2208.75420945708
16,46,4.82162094160739,4.82162094160739,0.55,5.5,150.83143278699094,-34.02390470377589,150.7948246083165,-34.06711007917493,6900.86207544032
17,46,17.772000228,17.772000228,1.0,5.0,150.76167680569975,-34.218996398960726,150.7948246083165,-34.06711007917493,1255.90816822265
38,46,15.036000084000001,15.036000084000001,1.0,5.0,150.70032736933453,-34.14905329289731,150.7948246083165,-34.06711007917493,1000.0
56,46,17.2743219503422,17.2743219503422,0.1,6.0,150.66724882259862,-34.229191601272916,150.7948246083165,-34.06711007917493,3027.98851884914
4,54,14.603999867999999,14.603999867999999,1.0,5.0,150.73269801802024,-34.05099416380232,150.731762494932,-33.939902256718504,1131.4708302762401
6,54,10.39200012,10.39200012,1.0,5.0,150.68069821994774,-33.868249541545914,150.731762494932,-33.939902256718504,1000.0
51,54,12.047999915999998,12.047999915999998,1.0,5.0,150.85839240657683,-33.92493461802784,150.731762494932,-33.939902256718504,1000.0
18,5,2.9440000088,2.9440000088,0.1,6.0,151.1838652875107,-33.80325914956283,151.22505396737665,-33.73162239312327,4500.0
25,5,12.4359999752,12.4359999752,1.0,5.0,151.30270653628938,-33.679481206316375,151.22505396737665,-33.73162239312327,3516.58894297938
40,5,6.455999971200001,6.455999971200001,1.0,5.0,151.26230790039324,-33.80545320676786,151.22505396737665,-33.73162239312327,4307.56843563677
45,5,4.872000072,4.872000072,0.1,6.0,151.1469987917078,-33.747116425449086,151.22505396737665,-33.73162239312327,3990.1477784707204
5,18,2.9440000088,2.9440000088,0.1,6.0,151.22505396737665,-33.73162239312326,151.18384498422725,-33.80321448233243,4764.945651789571
9,18,2.5589999978,2.5589999978,0.775,5.25,151.20995867886333,-33.832073919867625,151.18384498422725,-33.80321448233243,11382.71605199855
21,18,3.589333291333333,3.589333291333333,0.7000000000000001,5.333333333333333,151.13088477537065,-33.78783780432405,151.18384498422725,-33.80321448233243,6351.85185414523
30,18,3.3960000239999997,3.3960000239999997,1.0,5.0,151.14815926277524,-33.84227527460925,151.18384498422725,-33.80321448233243,2000.0
45,18,6.3840000372,6.3840000372,1.0,5.0,151.1469987917078,-33.747116425449086,151.18384498422725,-33.80321448233243,3000.0
5,25,12.4359999752,12.4359999752,1.0,5.0,151.22505396737665,-33.73162239312326,151.30270653628938,-33.67948120631637,3502.72967222002
40,25,8.0760000204,8.0760000204,1.0,5.0,151.26230790039324,-33.80545320676786,151.30270653628938,-33.67948120631637,3000.0
5,40,6.455999971200001,6.455999971200001,1.0,5.0,151.22505396737665,-33.73162239312326,151.26230790039324,-33.80545320676785,4162.6409003850695
9,40,2.8440000060000004,2.8440000060000004,1.0,5.0,151.20995867886333,-33.832073919867625,151.26230790039324,-33.80545320676785,3000.0
23,40,8.8500000324,8.8500000324,1.0,5.0,151.22481867013875,-33.88896011342243,151.26230790039324,-33.80545320676785,3994.73729579678
25,40,8.0760000204,8.0760000204,1.0,5.0,151.30270653628938,-33.679481206316375,151.26230790039324,-33.80545320676785,3000.0
5,45,4.872000072,4.872000072,0.1,6.0,151.22505396737665,-33.73162239312326,151.14699888407984,-33.74711213285547,3990.1477784707204
7,45,11.0099999832,11.0099999832,1.0,5.0,151.11184489586083,-33.70108441706498,151.14699888407984,-33.74711213285547,4000.0
18,45,6.3840000372,6.3840000372,1.0,5.0,151.1838652875107,-33.80325914956283,151.14699888407984,-33.74711213285547,2505.63909498594
21,45,3.6120000096,3.6120000096,1.0,5.0,151.13088477537065,-33.78783780432405,151.14699888407984,-33.74711213285547,3000.0
15,6,12.444000132000001,12.444000132000001,1.0,5.0,150.85178599934846,-33.87039605406204,150.68069821994774,-33.86824954154592,1000.0
19,6,11.268000048,11.268000048,1.0,5.0,150.70576980687161,-33.741232740765085,150.68069821994774,-33.86824954154592,1099.0415341893902
